Ano,Educação Infantil,Ensino Fundamental,Ensino Médio,Total
2008,80325,429585,91135,601045
2009,85392,422425,91662,599479
2010,87737,430963,99029,617729
2011,92587,426625,100250,619462
2012,100211,416810,100488,617509
2013,107012,407729,99411,614152
2014,112279,403150,99328,614757
2015,115903,404267,93257,613427
2016,120305,405963,95205,621473
2017,126244,404450,96512,627206
2018,129883,404114,102123,636120
2019,135929,397032,103482,636443
2020,136917,392015,104878,633810
2021,125245,391975,109762,626982
2022,136918,393401,104448,634767
2023,145792,393616,103814,643222
